"max Pts","minPts"
120.144212808,86.204398187
120.016666693,84.8858792411
122.656018607,80.0708332962
123.209722424,80.1043981075
123.946990622,79.6668983301
124.431018448,79.4930557569
124.416666704,79.7050925838
124.93148152,79.4567129453
125.35833319,79.0504630566
125.493287007,78.8305559423
125.510879644,78.7245372719
125.295833291,78.9192131413
125.555786779,78.7805561701
125.595833392,78.8847224183
125.869444434,78.7601853424
126.277314552,78.3486113707
125.740740437,78.3708339532
125.682638698,77.7615744617
125.792823966,77.9837965435
125.828240628,77.4273150285
125.684953483,77.5039357477
125.686805312,77.0435191128
125.577083291,77.33217619
125.245833307,77.0615743054
125.023610915,76.8868060695
125.589119885,76.5599541717
125.529629601,76.2895835532
125.774073988,75.7497687896
126.213425583,75.8011578984
126.185184786,75.318519036
126.73194455,75.6884262376
126.787731536,75.598148444
126.421990585,75.1821764257
126.579860714,74.866667072
126.928472254,74.9611113204
126.969675854,74.6666670375
127.238195022,74.5548617231
127.218286339,74.4879634115
127.568518951,74.4983799749
127.568287251,74.3763891167
127.75856568,74.2043982903
127.731481753,74.2902780983
127.944213141,74.341435292
128.147222175,74.0305556774
128.032639122,73.9155094915
128.125925668,73.8472226673
128.884027227,74.010416762
128.571527365,74.0555557834
128.211805624,73.9965280453
128.198379596,73.9002318674
128.676388778,73.5747688558
128.618286795,73.4502316316
129.005324618,73.4289354987
128.773610894,73.2499998887
129.398148081,73.5115742816
129.22685167,73.2949076573
129.647685899,73.0861112542
129.597684945,72.9807868746
130.027777709,73.0780094147
130.168981457,73.0958333201
130.423611403,73.0236108833
130.44490749,72.993749796
130.730092303,73.2821761926
131.055324168,73.0518520514
131.055323521,72.9879629082
131.276157257,73.2493054337
131.833564827,73.1881946325
131.741203615,73.1432873302
132.365740426,72.9988425891
132.283796067,73.0571756813
132.630555518,73.2881945743
132.824767929,73.3120372295
133.235416545,73.0011573341
133.288888825,72.7722223335
133.584258864,73.0800927798
133.586110915,72.761111286
133.855787076,72.890277791
133.96805546,72.9824072891
134.465277195,73.4807871501
134.582638677,73.2712965382
134.293286705,73.3756942987
134.409721645,73.462268477
134.467360353,73.6020835876
134.616434866,73.4465280241
134.702545977,73.544444312
134.957638216,73.4812499603
135.058101548,74.1370372613
135.256249788,74.1752316713
135.477545442,73.685879506
135.616897164,73.8608795351
135.721064546,74.1407409244
135.856249682,74.0562500556
135.878239674,73.763657252
136.024072991,73.7997685565
136.311805667,74.2442131572
136.589583217,74.1696760151
136.323147366,74.0805555847
136.473147583,74.1895835055
136.593518379,74.3166667912
136.875231457,74.5060187234
137.093518353,74.4011574692
137.14814807,74.5224540684
137.350694678,74.6432873408
137.320833381,74.8069445716
137.438657596,74.4699077076
137.440046512,74.6863428434
137.778009457,74.8703704781
137.820138905,74.7745371686
137.911111434,74.7217594438
137.971528106,74.7664353742
138.378704045,74.8805556854
138.566203663,75.0967594835
138.39652879,75.0317130592
138.562500419,75.1261577209
