"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40","s41","s42","s43","s44","s45","s46","s47","s48","s49","s50","s51","s52","s53","s54","s55","s56","s57","s58","s59","s60","s61","s62","s63","s64","s65","s66","s67","s68","s69","s70","s71","s72","s73","s74","s75","s76","s77","s78","s79","s80","s81","s82","s83","s84","s85","s86","s87","s88","s89","s90","s91","s92","s93","s94","s95","s96","s97","s98","s99","s100","s101","s102","s103","s104","s105","s106","s107","s108","s109","s110","s111","s112","s113","s114","s115"
129.198148002,104.165277508,129.32546338,138.34212958,115.074768315,102.012036853,134.889352115,128.90694454,104.34120325,109.117823977,136.883796326,120.618055312,97.0145831532,122.210647996,133.382407618,110.339351839,98.2520828618,132.672221888,124.270601628,100.736342594,105.390972318,136.890277629,126.364351755,94.7319443067,113.92893503,124.944906998,109.722453435,92.0249997139,124.298148123,127.762499793,101.107638746,98.4018512514,131.522685507,121.890509171,94.9523146576,107.83796294,132.776851675,107.65671276,96.4335645093,122.627777709,129.597685369,103.570601474,93.705787007,129.365509335,116.354166815,94.9324071513,102.87523125,128.905787118,111.047453552,93.6229164547,118.181018103,125.271990808,101.728934781,98.0844907178,129.282407517,119.106018257,92.2840275659,102.273842483,118.679861196,105.537731245,86.8388886558,121.011574109,120.314352263,96.3374998093,97.738426076,131.905555529,118.185416736,91.4451385816,109.972916592,128.107175885,101.246527561,90.6969901986,123.687731202,125.388657501,100.834259213,99.3407406118,131.539814928,114.936342827,89.8831017123,107.423379437,121.650231547,106.152314721,89.9678235054,120.628703552,124.721759346,101.406481261,102.038194444,132.168981536,122.858796257,93.7023145252,108.020138539,123.967592367,111.7384257,90.0868054231,122.517360889,124.258565145,100.330323797,94.0354158719,132.015277783,121.519675885,94.0004627599,106.634721735,130.262962776,107.228472074,94.2136569341,129.370138847,127.230092631,101.559027603,98.4745368587,131.111342669,118.387268215,91.6687498675,105.514583,128.588194524,108.207870203
128.267592457,106.150694142,129.452315209,131.578935109,115.76319427,103.925462749,133.227778027,126.21203697,105.857175483,110.715509102,133.237731483,120.100231112,100.191203573,122.424536816,128.58726857,110.901157342,100.093749507,131.112731134,120.996759113,102.008333355,106.155092679,132.759722148,122.988425827,96.2467590756,114.475925785,120.662962802,110.025925695,94.58541637,123.8847221,124.639583259,102.518749809,99.9909716447,129.926620558,120.008333275,96.8571757581,108.231249952,127.53564815,107.546759107,97.9238423294,122.235648055,126.656250069,104.324073675,95.9886573368,127.509953626,115.243518723,97.8018515587,104.360416444,124.968750011,110.674073924,96.151851617,117.765740326,120.499999931,102.625231112,98.8254629347,126.746064864,118.388657109,93.5124997722,102.773610952,114.419907575,105.7520831,89.7976849238,120.313425954,118.885880015,98.0083331691,98.8821760919,128.942592737,116.829861159,93.0773144775,110.254398092,122.290277841,101.228240501,92.1956013044,123.067129299,123.394675827,102.016898081,101.157638794,128.221759288,114.591666884,92.8969905959,109.317592404,117.999305503,106.211111021,92.282406844,119.968286853,120.035648192,102.178934956,103.092129633,129.049537208,122.404861101,95.0405090067,108.601157067,120.68379631,111.661342356,92.9643516752,122.13217561,121.230092827,101.28773124,95.4662029001,130.571296332,119.316435104,95.6162035147,106.914351373,124.802546236,107.337731308,95.7136569076,128.286805423,124.088657294,102.516434961,100.654398055,128.661574056,117.869444079,94.7495368746,107.301620054,123.634027688,108.432870192
127.178934934,109.311342324,129.753241179,124.193981584,116.980555386,106.746758959,131.324537203,123.001157406,108.122453213,112.799536843,128.747916587,119.441666216,104.296296109,122.775231314,122.924768395,111.97314798,102.806017987,129.074073855,117.175462845,103.86018504,107.247685369,128.070833275,119.22407395,98.4064812925,115.240277566,115.685879654,110.593981293,98.014120192,123.381481398,120.939814896,104.571296077,102.380786392,127.961574003,117.829166566,99.7437497987,108.962963019,121.643055561,107.448610973,100.270370081,121.918749788,123.124537044,105.503703313,99.0273147159,125.14351848,113.635879887,101.563657098,106.4120368,120.482638825,110.508796061,99.7645829784,117.210416227,115.128009293,103.950231165,99.9414352311,123.870138857,117.42268486,95.3349536313,103.540740421,109.602083466,106.207870208,93.8293978267,119.383796475,117.031481912,100.365046204,100.59351876,125.446296385,115.261111191,95.5402774016,110.762731457,115.706018655,101.328934956,94.4182863712,122.34143494,120.846064647,103.846759288,103.612962717,124.266666794,113.999074327,96.8511572732,111.96504621,113.642361122,106.499074014,95.6388884544,119.138425684,114.992361148,103.436342308,104.524537139,125.31134251,121.775694598,96.8275460137,109.414814472,116.756249942,111.734721994,97.0745368428,121.681018114,117.663889149,102.787962696,97.5372676902,128.732870377,116.825463067,98.145370086,107.450231128,118.516898081,107.561573723,97.7777772744,126.870601861,120.36805537,104.084027433,103.486573871,125.581249793,117.2157404,98.8912033929,109.961342287,117.982175822,108.970601723
126.775462781,112.493981234,130.17986154,119.914814928,118.391666455,109.315508906,130.305555683,120.834027794,110.25902719,114.296064594,125.790740686,119.080786626,107.160184998,123.199768294,119.343055423,113.471759102,105.195601299,127.678471873,115.073842642,105.590046141,108.203935364,125.357407215,117.287500011,100.326620187,115.907638635,112.561111122,111.305323908,100.480092372,123.167823982,118.731018554,106.387499724,104.628240108,126.79282403,116.834027772,102.451388672,109.762268554,118.140046348,107.637962749,102.538888576,122.08032385,120.946990686,106.730555222,101.282175885,123.657870144,112.318287309,104.26018485,107.965046061,117.821527667,111.049999804,102.874768141,116.996527327,112.013194429,105.311573739,100.985185183,122.449305518,116.545833,96.8923610263,104.331249746,106.638194609,106.770370197,96.7254626963,118.652315066,115.585648558,102.397916545,102.08449094,123.319444503,114.567361191,97.829397779,111.374305492,111.757638979,101.661573876,96.4622678598,121.987962829,119.041666412,105.549537028,105.481249793,121.696759303,113.529629914,99.59560176,114.156944349,110.909259351,107.212036917,98.4256940153,118.621064568,112.40023151,104.834027476,105.721990829,123.186111079,121.342361265,98.3722219202,110.153934797,114.267361127,111.992360857,100.215509123,121.492823744,115.352083694,104.315740474,99.4333325174,127.505324009,115.629629713,100.47291637,108.070601474,114.68124983,107.854397747,99.3986106078,125.968055413,117.947453403,105.639120075,105.42453689,123.544907167,116.743286679,101.838888555,112.231712606,114.556944365,109.803009224
127.344675721,114.87986091,130.657639286,117.168287145,119.562731287,111.027545791,130.377083312,119.883101834,111.690045791,114.862499836,124.390972418,118.987499613,108.192360825,123.562036869,117.282870203,114.890740654,106.570601288,127.193518035,114.396759303,106.949073866,108.863194397,124.218749899,116.894675959,101.596296046,116.317823765,110.829861143,111.931249952,101.440277571,123.228935046,117.751851744,107.556481277,106.296758763,126.617129813,117.110879585,104.552777645,110.518749746,116.238194386,108.064583217,104.123842192,122.568286795,120.101851718,107.71411998,102.404398118,123.243055312,111.507639138,105.432175811,108.845833079,116.521296252,112.248379532,104.710647816,117.136804973,110.653009245,106.501156939,101.858564954,122.593518543,116.015740479,97.9530090703,104.990046162,104.902083429,107.331481393,97.916434998,118.346064986,114.659259537,103.735879485,103.189814997,122.668981573,114.852777783,99.4402773698,111.960879501,109.395833397,102.327777667,97.8993051264,122.135879405,118.15532385,106.727314859,106.353009028,120.460648261,113.313194709,100.486574019,115.200925716,109.654166688,108.190972127,99.9414346324,118.629860767,111.504166561,106.116666381,106.509722222,122.639814838,121.144444593,99.4317125903,110.646064499,113.216898123,112.533564647,101.538425705,121.640971931,114.186342949,105.624073998,100.890739902,126.984490617,115.691203732,102.158101628,108.6567125,112.418286922,108.191666449,100.358101553,125.872684982,116.819212866,106.900462617,105.976156982,122.781249862,116.552314387,103.040740405,113.668981165,112.580786843,110.706249968
128.492129501,116.307175716,131.150463459,114.628009325,120.188888714,111.950693893,130.70694419,119.568518443,112.515740278,115.028703467,123.571527868,119.247916211,108.505092361,123.862962834,115.719675779,115.683796151,107.308564292,127.214582978,114.134722228,107.941203531,109.539351749,123.563425848,117.23541664,102.461342404,116.697916428,109.477314817,112.48055545,101.763194285,123.392592388,117.321990612,108.158333174,107.485647657,126.955324131,117.861342552,105.877546125,111.187036827,114.703935035,108.644675758,105.231018088,122.922221947,119.823379522,108.491897758,103.027083264,123.329166444,111.184028027,106.097453488,109.358796019,115.624305593,113.575925801,105.737499645,117.543749412,109.667129633,107.589119853,102.66296312,123.115509362,115.581712633,98.721527587,105.466435088,103.486111175,107.820370298,98.4541665448,118.223379744,113.862731801,104.652314626,104.025000238,122.632638995,115.54282421,100.441434775,112.59166654,107.387731436,103.102777635,98.9064810806,122.510185062,117.627777582,107.37291663,106.647684797,119.720601961,113.197685427,100.563425938,115.464583164,108.734259303,109.300231335,100.572221661,119.022684813,111.050694413,107.186342329,107.203935199,122.615972127,121.068981457,100.281249666,110.979629336,112.685416693,113.206481287,101.931712643,121.905092345,113.453935475,106.763657326,102.034721385,126.698611132,116.166435152,103.298147949,109.171064403,110.566666529,108.468749841,101.126157167,126.343749931,116.258333222,107.809953366,105.958101363,122.71319436,116.547684712,103.483101421,114.349536679,111.00393503,111.537268474
129.637962744,117.117129321,131.52384287,113.677314997,120.414814414,112.45324032,130.801851845,119.381018432,112.942360523,115.162268209,123.01504622,119.547221682,108.930786922,124.04930537,114.790740532,115.786574025,107.769212495,127.112731192,113.893518549,108.661805497,110.189120303,123.359490591,118.024073908,103.143981356,117.086342398,108.697222159,112.866203361,102.112731393,123.474768416,117.256712707,108.513194275,108.429629146,127.410648266,118.537268564,106.696759081,111.726157406,113.854861106,109.081712691,106.052083095,122.936110851,119.926157263,109.081249597,103.653703531,123.435185088,111.147917,106.990277629,109.949073876,115.194444233,114.57106479,106.414814562,117.780092107,109.104166524,108.525462596,103.546759579,123.316898203,115.378703271,99.5094905006,105.762268284,102.893981573,108.109722127,99.36967588,118.177083402,113.130555884,105.439814652,104.735416826,122.732407469,116.071296316,101.106944142,113.103934993,106.375231372,103.846759001,99.7006940736,122.889814525,117.332175769,107.684490702,106.806712861,119.157175732,113.109491078,100.763425891,115.408333291,107.938426002,110.19999983,100.871990082,119.536110799,111.332175785,107.960879538,107.879398208,122.463888693,120.990046204,101.023379368,111.197916306,112.482870399,113.924305418,102.408796093,122.127314583,113.336111153,107.670833206,103.032175053,126.346064864,116.597222249,104.14953689,109.559953139,109.489814689,108.673842303,101.954397779,126.72361109,116.11435176,108.448147996,106.037962728,122.973842425,116.631944047,104.154860708,114.669444042,110.224536837,112.14004613
130.251620266,117.415277497,131.68263908,114.240972318,120.433564387,112.735647827,130.678935115,119.14212957,113.122453139,115.347916343,122.772916481,119.764119895,109.428240596,124.140509118,114.615740379,115.592824056,108.037036626,126.966435009,113.815046443,109.016203626,110.634953578,123.531944386,118.756249883,103.579860947,117.386342483,108.564120277,112.986110756,102.407870277,123.509953615,117.469907231,108.728703552,108.9518514,127.700000074,118.951851749,107.034027619,112.065509245,113.791898065,109.268055291,106.589583063,122.78912006,120.158333227,109.446527391,104.190509091,123.405323924,111.206250344,107.815509118,110.414583164,115.241666418,115.053935099,106.790740522,117.888656939,108.997453642,109.12407376,104.237037388,123.283564817,115.344443946,100.088194105,105.92199041,103.045833408,108.218518305,100.255092647,118.183796358,112.650926208,105.961342451,105.201157554,122.808796406,116.252083296,101.485416381,113.38009243,106.425231446,104.318749735,100.202314419,123.173147869,117.241434919,107.763425896,106.907638661,118.883333132,113.103472556,101.112037028,115.384722228,107.457176039,110.67569427,101.038193793,119.924999597,112.0972221,108.383101718,108.364814838,122.328009176,120.928935152,101.528471963,111.368286726,112.549074104,114.383101702,102.947222042,122.234027534,113.597222302,108.292823908,103.65740651,126.031018707,116.834027714,104.682175732,109.784258694,109.313888725,108.708333021,102.556249597,126.92523142,116.276157384,108.740972037,106.310879511,123.235185046,116.721295844,104.828240458,114.781481059,110.251620181,112.390046183
131.301157257,117.988656966,132.607639212,114.374305693,120.805092271,113.225462686,131.218287071,119.955323919,113.644675329,115.545138635,123.412731393,120.609258901,110.276388767,124.951620256,114.879860799,115.6099536,108.490045865,126.880787007,114.067129596,109.862036922,111.276157501,124.322685141,119.895138762,104.339583312,117.819675663,108.811574062,113.447916365,102.60046276,123.973148055,117.624768464,109.111805296,109.642129056,128.312731271,119.675694238,107.49050898,112.834722243,113.687499984,109.725000032,106.826620012,123.475462765,120.381944206,110.195370075,104.728703668,123.397685168,111.739815039,108.589351681,110.89490713,115.915740516,115.536342552,107.492129299,118.337036551,108.796990543,109.950925403,104.683333381,123.257175965,115.404860862,100.92824058,106.449073961,103.610185273,108.593749846,100.688194307,118.336805465,112.286342976,106.504629495,105.792824263,123.712962903,116.809490554,102.578934818,114.316203631,106.289351866,105.217823723,100.497453245,123.716203509,117.368518326,108.154397874,106.894213046,119.367592467,113.081713125,102.125231478,115.529166661,107.262962914,111.233101744,101.396990177,120.75740713,112.592129511,109.031249852,108.880324115,122.739583254,121.153472153,102.286342388,112.079860708,113.16296303,115.535184982,102.940277624,122.544444137,114.126389196,108.871990644,104.327777094,125.885185003,117.219907358,105.789814578,110.251851357,109.121990649,108.946527481,102.770833,127.263194354,116.323610846,109.126388778,106.816897843,123.947453684,117.055786482,105.741434971,114.965045871,110.281712765,112.876157183
131.507175689,118.344675509,132.757870722,114.806018692,120.913194105,113.668749619,131.557870494,120.177314679,114.025230874,116.278240495,123.617129585,120.791666381,110.785879442,125.592129644,115.021527545,115.774768464,108.777545834,126.683796342,114.321064764,110.193518437,111.657870436,124.536111101,120.340277783,104.873148129,117.966666439,109.107870298,113.55254603,103.273842319,124.164351723,117.417129612,109.418981266,109.90717534,128.519675726,119.985185115,107.724536758,113.177546263,113.845370298,109.916898198,107.307407098,124.045138619,120.308796136,110.535879384,105.385416645,123.081481489,112.027778011,109.165046125,111.173147853,116.126388619,115.657870346,107.779166317,118.34884216,108.586573945,110.411342091,105.103703748,123.421064679,115.643981176,101.553935035,106.853472127,104.09212967,108.700925695,101.076157252,118.593287002,112.33796339,106.775462808,106.30486127,124.011805508,116.920601776,102.848842213,114.417823972,106.486573977,105.471064472,100.951851368,123.932407162,117.613194243,108.301851633,106.885416683,119.559722079,113.118981738,102.633101845,115.78217605,107.214120425,111.450925785,102.044675355,121.148842276,112.741435093,109.418518315,109.356018543,122.999768469,121.084259303,102.93333318,112.398379315,113.429166789,115.916898012,103.386573897,122.701620081,114.238889053,109.130787007,104.731017801,125.648379554,117.234490607,106.117360862,110.441897662,108.999768517,109.124768135,103.279397795,127.158796289,116.214583084,109.413888746,107.419675562,124.074074146,117.191434601,106.147916471,115.13935149,110.399305301,113.171527555
