"slice","fp","pn","pp","cn","cp","Ck","pw"
2,4872.821444,0.0,379,379,4872,2.16867603874,1358
3,7507.732166,2.0,3095,767,7588,3.34135757709,1358
4,10094.642888,4.0,5811,1107,10304,4.4926764509,1358
5,11343.55361,5.0,7169,109,11662,5.04851105072,1358
6,13950.464332,7.0,9885,469,14378,6.20873103475,1358
7,16545.375054,9.0,12601,817,17094,7.36361035265,1358
8,19142.285776,11.0,15317,1167,19810,8.51937978157,1358
9,20371.196498,11.0,15317,149,19810,9.06631327117,1358
10,22988.10722,13.0,18033,519,22526,10.2309838103,1358
11,25543.017942,15.0,20749,827,25242,11.3680609078,1358
12,28149.928664,17.0,23465,1187,27958,12.5282808918,1358
13,29378.839386,18.0,24823,169,29316,13.0752143814,1358
14,31975.750108,20.0,27539,519,32032,14.2309838103,1358
15,34550.66083,22.0,30255,847,34748,15.376962018,1358
16,37137.571552,24.0,32971,1187,37464,16.5282808918,1358
17,38376.482274,25.0,34329,179,38822,17.0796649365,1358
18,40963.392996,27.0,37045,519,41538,18.2309838103,1358
19,43538.303718,28.0,38403,847,42896,19.376962018,1358
20,46145.21444,30.0,41119,1207,45612,20.537182002,1358
21,47374.125162,31.0,42477,189,46970,21.0841154916,1358
22,49991.035884,33.0,45193,559,49686,22.2487860308,1358
23,52555.946606,35.0,47909,877,52402,23.3903136833,1358
24,55182.857328,37.0,50625,1257,55118,24.5594347776,1358
25,56411.76805,38.0,51983,239,56476,25.1063682672,1358
26,59028.678772,40.0,54699,609,59192,26.2710388063,1358
27,61623.589494,42.0,57415,957,61908,27.4259181242,1358
28,62975.500216,43.0,58773,62.0,63266,28.0275934417,1358
29,65469.410938,45.0,61489,309,65982,29.137522153,1358
30,68046.32166,47.0,64205,639,68698,30.2843904717,1358
31,70661.232382,48.0,65563,1007,70056,31.4481708998,1358
32,71968.143104,49.0,66921,67.0,71414,32.0298187193,1358
33,74507.053826,51.0,69637,359,74130,33.1597749285,1358
34,77101.964548,53.0,72353,707,76846,34.3146542464,1358
35,79688.87527,55.0,75069,1047,79562,35.4659731202,1358
36,80937.785992,56.0,76427,49,80920,36.02180772,1358
37,83524.696714,58.0,79143,389,83636,37.1731265939,1358
38,86109.607436,60.0,81859,727,86352,38.3235553566,1358
39,88706.518158,62.0,84575,1077,89068,39.4793247856,1358
40,89935.42888,63.0,85933,59,90426,40.0262582752,1358
41,92542.339602,65.0,88649,419,93142,41.1864782592,1358
42,95097.250324,66.0,90007,727,94500,42.3235553566,1358
43,97704.161046,68.0,92723,1087,97216,43.4837753407,1358
44,98943.071768,69.0,94081,79,98574,44.0351593854,1358
45,101539.98249,71.0,96797,429,101290,45.1909288143,1358
46,104124.893212,73.0,99513,767,104006,46.3413575771,1358
47,106721.803934,75.0,102229,1117,106722,47.497127006,1358
48,107980.714656,76.0,103587,129,108080,48.0574121609,1358
49,110567.625378,78.0,106303,469,110796,49.2087310348,1358
50,113152.5361,80.0,109019,807,113512,50.3591597975,1358
51,115759.446822,82.0,111735,1167,116228,51.5193797816,1358
52,116998.357544,83.0,113093,159,117586,52.0707638263,1358
53,119605.268266,84.0,114451,519,118944,53.2309838103,1358
