"","x","y"
"1",0,NA
"2",1,NA
"3",2,NA
"4",3,NA
"5",4,NA
"6",5,NA
"7",6,NA
"8",7,NA
"9",8,NA
"10",9,NA
"11",10,NA
"12",11,NA
"13",12,NA
"14",13,NA
"15",14,NA
"16",15,NA
"17",16,NA
"18",17,NA
"19",18,NA
"20",19,NA
"21",20,NA
"22",21,NA
"23",22,NA
"24",23,NA
"25",24,NA
"26",25,NA
"27",26,NA
"28",27,NA
"29",28,NA
"30",29,NA
"31",30,NA
"32",31,NA
"33",32,NA
"34",33,NA
"35",34,NA
"36",35,NA
"37",36,NA
"38",37,NA
"39",38,NA
"40",39,NA
"41",40,NA
"42",41,NA
"43",42,NA
"44",43,NA
"45",44,NA
"46",45,NA
"47",46,NA
"48",47,NA
"49",48,NA
"50",49,NA
"51",50,NA
"52",51,NA
"53",52,NA
"54",53,NA
"55",54,NA
"56",55,NA
"57",56,NA
"58",57,NA
"59",58,NA
"60",59,NA
"61",60,NA
"62",61,NA
"63",62,0.0262412105173614
"64",63,0.0115072451413052
"65",64,-0.0325513941190476
"66",65,-0.0423990568378379
"67",66,-0.0852888642175439
"68",67,-0.043137547430376
"69",68,-0.114384188916373
"70",69,-0.0764479631999965
"71",70,-0.0891273434330803
"72",71,-0.149836496351545
"73",72,-0.137029754814814
"74",73,-0.14941411968122
"75",74,-0.169180122800268
"76",75,-0.181204311267327
"77",76,-0.156831726298972
"78",77,-0.179431504123429
"79",78,-0.0803881073003773
"80",79,-0.0887519272600455
"81",80,-0.0915408830988235
"82",81,-0.139525963744318
"83",82,-0.14183209663124
"84",83,-0.0722255430230462
"85",84,-0.145716402842709
"86",85,-0.124145241733327
"87",86,-0.0454680280691915
"88",87,-0.127134420646388
"89",88,-0.0239926183821237
"90",89,-0.105057494604743
"91",90,0.0170912405
"92",91,-0.1004682202833
"93",92,0.0475487983030307
"94",93,-0.0834768008402052
"95",94,-0.00244356426817925
"96",95,-0.00920110385539248
"97",96,-0.0133049157315854
"98",97,-0.0761166256734694
"99",98,-0.0672601455714286
"100",99,-0.0663844561621621
"101",100,-0.0512553746998654
"102",101,-0.0510549401845382
"103",102,-0.0499705416391753
"104",103,-0.050193860975926
"105",104,-0.0395152277755862
"106",105,-0.0390214948060811
"107",106,-0.033712981835391
"108",107,-0.0324580581478753
"109",108,-0.00986984163840399
"110",109,-0.0167575668013533
"111",110,-0.0104173205430183
"112",111,-0.0135208723687209
"113",112,-0.0127941241697595
"114",113,-0.00121690151938895
"115",114,0.000427193
"116",115,0.00705211562499963
"117",116,0.014851724
"118",117,0.027995035629845
"119",118,0.0296170586374268
"120",119,0.0316772142186366
"121",120,0.0319252188856417
"122",121,0.0348667297269289
"123",122,0.0347276789090909
"124",123,0.0323832371914892
"125",124,0.0460232017898815
"126",125,0.0347984438979584
"127",126,0.0357232525977936
"128",127,NA
"129",128,NA
"130",129,NA
"131",130,NA
"132",131,NA
"133",132,NA
"134",133,NA
"135",134,NA
"136",135,NA
"137",136,NA
"138",137,NA
"139",138,NA
"140",139,NA
"141",140,NA
"142",141,NA
"143",142,NA
"144",143,NA
"145",144,NA
"146",145,NA
"147",146,NA
"148",147,NA
"149",148,NA
"150",149,NA
"151",150,NA
"152",151,NA
"153",152,NA
"154",153,NA
"155",154,NA
"156",155,NA
"157",156,NA
"158",157,NA
"159",158,NA
"160",159,NA
"161",160,NA
"162",161,NA
"163",162,NA
"164",163,NA
"165",164,NA
"166",165,NA
"167",166,NA
"168",167,NA
"169",168,NA
"170",169,NA
"171",170,NA
"172",171,NA
"173",172,NA
"174",173,NA
"175",174,NA
"176",175,NA
"177",176,NA
"178",177,NA
"179",178,NA
"180",179,NA
"181",180,NA
"182",181,NA
"183",182,NA
"184",183,NA
"185",184,NA
"186",185,NA
"187",186,NA
"188",187,NA
"189",188,NA
"190",189,NA
"191",190,NA
"192",191,NA
"193",192,NA
"194",193,NA
"195",194,NA
"196",195,NA
"197",196,NA
"198",197,NA
"199",198,NA
"200",199,NA
"201",200,NA
"202",201,NA
"203",202,NA
"204",203,NA
"205",204,NA
"206",205,NA
"207",206,NA
"208",207,NA
"209",208,NA
"210",209,NA
"211",210,NA
"212",211,NA
"213",212,NA
"214",213,NA
"215",214,NA
"216",215,NA
"217",216,NA
"218",217,NA
"219",218,NA
"220",219,NA
"221",220,NA
"222",221,NA
"223",222,NA
"224",223,NA
"225",224,NA
"226",225,NA
"227",226,NA
"228",227,NA
"229",228,NA
"230",229,NA
"231",230,NA
"232",231,NA
"233",232,NA
"234",233,NA
"235",234,NA
"236",235,NA
"237",236,NA
"238",237,NA
"239",238,NA
"240",239,NA
"241",240,NA
"242",241,NA
"243",242,NA
"244",243,NA
"245",244,NA
"246",245,NA
"247",246,NA
"248",247,NA
"249",248,NA
"250",249,NA
"251",250,NA
"252",251,NA
"253",252,NA
"254",253,NA
"255",254,NA
"256",255,NA
