row,lum
-1358,0
-1203,-0.109
-1203,10.218
-1203,10.218
-1203,-14.68
-1203,1.455
-1173,-5.552
-1133,-5.477
-1133,-13.403
-1133,8.738
-1133,8.738
-1133,-6.793
-1133,-1.496
-1093,-2.277
-1083,14.204
-1083,14.204
-1083,-1.152
-1073,4.708
-1073,7.848
-1073,3.112
-1013,11.382
-1013,11.943
-1013,11.943
-1013,-8.784
-1013,0.388
-943,-3.809
-943,9.156
-943,9.156
-943,-16.531
-943,-3.626
-925,27.493
-893,-14.774
-883,-18.862
-883,-16.247
-873,-22.928
-873,-6.422
-873,-6.422
-873,-9.203
-855,14.067
-833,-29.174
-813,-22.083
-813,-18.601
-813,-14.673
-805,2.441
-795,3.58
-743,-26.709
-743,-22.68
-743,-22.68
-743,-45.732
-743,-16.013
-735,-9.425
-665,-22.038
-653,-58.038
-643,-48.863
-643,-36.006
-643,-36.006
-643,-29.44
-595,-38.325
-593,-55.756
-560,-42.965
-560,-46.169
-553,-58.873
-553,-50.404
-553,-50.404
-553,-57.363
-553,-36.725
-553,-50.421
-535,-53.463
-503,-71.167
-490,-56.421
-490,-52.427
-483,-66.333
-483,-60.719
-483,-60.719
-483,-65.292
-483,-39.753
-465,-58.839
-440,-54.649
-430,-57.704
-423,-74.62
-423,-65.997
-423,-65.997
-423,-79.368
-413,-79.846
-370,-56.177
-365,-52.432
-353,-79.352
-343,-73.172
-343,-62.929
-343,-62.929
-343,-72.787
-308,-71.436
-300,-50.221
-300,-51.851
-278,-68.497
-278,-61.696
-278,-61.696
-278,-67.868
-278,-35.406
-278,-72.288
-275,-50.394
-260,-49.437
-260,-43.182
-240,-43.604
-230,-45.501
-223,-69.728
-208,-62.515
-208,-56.578
-208,-56.578
-208,-62.168
-208,-32.833
-205,-50.732
-194,-55.941
-194,-47.729
-194,-47.729
-194,-44.693
-190,-45.192
-190,-38.799
-190,-56.942
-170,-38.086
-150,-27.623
-145,-39.578
-130,-33.212
-124,-46.284
-124,-40.665
-120,-35.308
-120,-25.864
-120,-25.864
-120,-16.555
-100,-21.699
-80,-30.566
-70,-20.884
-70,-10.441
-67,-15.545
-67,-15.545
-67,-6.616
-65,-9.257
-57,-18.447
-57,-16.456
-57,-7.246
-10,-7.065
-4,-18.388
0,0
0,-9.074
0,0
0,0
0,0
0,-1.418
0,0
0,0
0,0
0,0
0,0
60,8.492
70,-0.869
70,6.716
84,17.964
90,5.304
90,6.308
110,13.749
130,5.496
158,31.857
160,6.055
200,11.293
200,19.723
211,34.202
220,12.888
221,33.212
230,12.367
278,30.761
290,20.185
290,12.781
300,15.772
300,18.421
350,15.984
365,12.778
365,12.857
390,12.389
390,19.566
435,8.051
440,17.352
449,-0.353
453,-6.685
460,6.396
519,-12.879
520,2.145
523,-13.579
530,4.313
576,-21.7
586,-25.614
590,-12.727
600,-9.725
635,-13.063
643,-34.166
665,-20.402
665,-18.89
720,-23.707
735,-30.58
749,-41.72
753,-40.753
819,-52.309
823,-55.09
863,-51.377
876,-52.544
886,-56.291
939,-47.494
943,-53.846
948,-53.19725301
953,-52.54850602
958,-51.89975904
963,-51.25101205
968,-50.60226506
973,-49.95351807
978,-49.30477108
983,-48.6560241
988,-48.00727711
993,-47.35853012
998,-46.70978313
1003,-46.06103614
1008,-45.41228916
1013,-44.76354217
1018,-44.11479518
1023,-43.46604819
1028,-42.8173012
1033,-42.16855422
1038,-41.51980723
1043,-40.87106024
1048,-40.22231325
1053,-39.57356627
1058,-38.92481928
1063,-38.27607229
1068,-37.6273253
1073,-36.97857831
1078,-36.32983133
1083,-35.68108434
1088,-35.03233735
1093,-34.38359036
1098,-33.73484337
1103,-33.08609639
1108,-32.4373494
1113,-31.78860241
1118,-31.13985542
1123,-30.49110843
1128,-29.84236145
1133,-29.19361446
1138,-28.54486747
1143,-27.89612048
1148,-27.24737349
1153,-26.59862651
1158,-25.94987952
1163,-25.30113253
1168,-24.65238554
1173,-24.00363855
1178,-23.35489157
1183,-22.70614458
1188,-22.05739759
1193,-21.4086506
1198,-20.75990361
1203,-20.11115663
1208,-19.46240964
1213,-18.81366265
1218,-18.16491566
1223,-17.51616867
1228,-16.86742169
1233,-16.2186747
1238,-15.56992771
1243,-14.92118072
1248,-14.27243373
1253,-13.62368675
1258,-12.97493976
1263,-12.32619277
1268,-11.67744578
1273,-11.0286988
1278,-10.37995181
1283,-9.731204819
1288,-9.082457831
1293,-8.433710843
1298,-7.784963855
1303,-7.136216867
1308,-6.48746988
1313,-5.838722892
1318,-5.189975904
1323,-4.541228916
1328,-3.892481928
1333,-3.24373494
1338,-2.594987952
1343,-1.946240964
1348,-1.297493976
1353,-0.648746988
1358,0
