"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",NA
"62",NA
"63",NA
"64",NA
"65",NA
"66",NA
"67",NA
"68",0.726767723825225
"69",0.708050365050704
"70",0.689330931825553
"71",0.670627954973432
"72",0.651954234256202
"73",0.633117982745859
"74",0.614201943051849
"75",0.595383338635109
"76",0.576482311844152
"77",0.557566939040835
"78",0.538090546180581
"79",0.516099435921535
"80",0.495776812671049
"81",0.475865437792195
"82",0.46334095483254
"83",0.449874846721099
"84",0.43737959384419
"85",0.419998845139114
"86",0.401785477659812
"87",0.383918576452164
"88",0.366566095085788
"89",0.352866281764279
"90",0.34021615222509
"91",0.328652708669499
"92",0.318329296798156
"93",0.310042848319831
"94",0.302355406987135
"95",0.292858797846944
"96",0.280150592386417
"97",0.266322781240767
"98",0.251830013630462
"99",0.236924840433993
"100",0.221859812529853
"101",0.206887480796532
"102",0.192133633016282
"103",0.177061117843705
"104",0.161721295964557
"105",0.146289055200117
"106",0.130939283371664
"107",0.115846868300476
"108",0.101186697807834
"109",0.0871336597150162
"110",0.0738626418433011
"111",0.0615485320139681
"112",0.050366218048296
"113",0.0405020361159099
"114",0.0319697979382382
"115",0.0243686594217607
"116",0.0172607985479528
"117",0.0102083932982897
"118",0.00277362165424685
"119",-0.00531782065716214
"120",-0.0124156928957197
"121",-0.0184224936809103
"122",-0.0239045054048187
"123",-0.02942801045953
"124",-0.0355592912371291
"125",-0.0426216236413075
"126",-0.0495414601364527
"127",-0.0561774996330641
"128",-0.0626112485303309
"129",-0.0689242132274418
"130",-0.075197900123586
"131",-0.0815427280182794
"132",-0.0883509366176256
"133",-0.0956159665136731
"134",-0.103199272226999
"135",-0.110962308278179
"136",-0.118766529187792
"137",-0.126473389476413
"138",-0.133944343664619
"139",-0.141040846272987
"140",-0.147624351822093
"141",-0.153556314832516
"142",-0.158705261182315
"143",-0.163300698616083
"144",-0.167547954654296
"145",-0.171497537129358
"146",-0.175199953873672
"147",-0.178705712719644
"148",-0.182065321499676
"149",-0.185329288046175
"150",-0.188265777570263
"151",-0.190255646236112
"152",-0.191804273035146
"153",-0.193497513301002
"154",-0.195578002578309
"155",-0.196548617588477
"156",-0.196591529743043
"157",-0.196229501367202
"158",-0.195985294786148
"159",-0.196381672325076
"160",-0.197745979049594
"161",-0.199241485212345
"162",-0.200717676340517
"163",-0.202198678719215
"164",-0.203708618633543
"165",-0.205271622368605
"166",-0.206911816209506
"167",-0.208653326441351
"168",-0.210533061803034
"169",-0.213077575324135
"170",-0.21629772036811
"171",-0.219841401609578
"172",-0.223356523723162
"173",-0.226490991383483
"174",-0.22889270926516
"175",-0.231364811982054
"176",-0.234665110561466
"177",-0.238373524298186
"178",-0.242069972487001
"179",-0.2453343744227
"180",-0.247746649400071
"181",-0.248906453105951
"182",-0.249384185089622
"183",-0.249576210355739
"184",-0.249428030217319
"185",-0.248885145987379
"186",-0.247803972238714
"187",-0.245762996925538
"188",-0.243046708275945
"189",-0.240047293156302
"190",-0.237156938432978
"191",-0.234225600155049
"192",-0.230607760002094
"193",-0.22660303100641
"194",-0.222532396065608
"195",-0.218540022094169
"196",-0.213893580040538
"197",-0.20875661802379
"198",-0.2034703428072
"199",-0.198375961154043
"200",-0.1934901601783
"201",-0.188110638736835
"202",-0.18252094281287
"203",-0.177086166230533
"204",-0.172154907907883
"205",-0.167319507994461
"206",-0.162477283626206
"207",-0.157823224969489
"208",-0.153177964447065
"209",-0.148534666998682
"210",-0.143907971270086
"211",-0.139312515907021
"212",-0.134761405940576
"213",-0.130244896855497
"214",-0.125757607636174
"215",-0.121299182777364
"216",-0.116869266773822
"217",-0.112467504120305
"218",-0.108093539311571
"219",-0.103747016842376
"220",-0.0994275812074759
"221",-0.0951348769016281
"222",-0.090868548419589
"223",-0.0866282402561153
"224",-0.0824135969059636
"225",-0.0782242628638907
"226",-0.074059882624653
"227",-0.0699201006830073
"228",-0.0658045615337103
"229",-0.0617129096715185
"230",-0.0576447895911887
"231",-0.0535998457874774
"232",-0.0495777227551413
"233",-0.0455780649889371
"234",-0.0416005169836214
"235",-0.0376447232339508
"236",-0.033710328234682
"237",-0.0297969764805717
"238",-0.0259043124663765
"239",-0.0220319806868529
"240",-0.0181796256367578
"241",-0.0143468918108478
"242",-0.0105334237038794
"243",-0.00673886581060928
"244",-0.00296286262579418
"245",0.000794941355809304
"246",NA
"247",NA
"248",NA
"249",NA
"250",NA
"251",NA
"252",NA
"253",NA
"254",NA
"255",NA
"256",NA
