,row,xmin,xmax,yfit.max,yfit.min
1,0,63.19607622,100.4861113,105.8122484,60.23183287
2,1,62.33016709,101.7897438,106.1401888,60.20382453
3,2,60.38817021,104.3078479,106.4624585,60.17568996
4,3,59.22082364,106.1382092,106.7789366,60.14741348
5,4,58.67847708,106.9031858,107.0895022,60.11897942
6,5,58.67647631,107.491997,107.3940344,60.09037209
7,6,59.04599845,107.954293,107.6924122,60.0615758
8,7,59.27049341,108.5290406,107.9845148,60.03257487
9,8,59.32775839,108.9941144,108.2702211,60.00335362
10,9,59.44331782,109.4505246,108.5494102,59.97389636
11,10,59.59116163,109.9831198,108.8219613,59.94418741
12,11,59.70095183,110.2910258,109.0877534,59.91421109
13,12,59.68364416,110.5255246,109.3466656,59.88395172
14,13,59.59170558,110.8585665,109.5985769,59.8533936
15,14,59.58803424,111.3109169,109.8433665,59.82252107
16,15,59.52787494,111.5562938,110.0809133,59.79131842
17,16,59.51814299,111.7079643,110.3110965,59.75976999
18,17,59.61557889,111.8634422,110.5339503,59.72783554
19,18,59.76569545,112.0181042,110.7497314,59.69551278
20,19,59.90270012,112.1957265,110.9586527,59.66284294
21,20,59.93249809,112.4160452,111.1609272,59.62986725
22,21,59.8577895,112.5482325,111.3567677,59.59662694
23,22,59.89557116,112.7634034,111.5463871,59.56316324
24,23,59.82799153,112.848582,111.7299985,59.52951737
25,24,59.65726501,112.7877429,111.9078146,59.49573057
26,25,59.53803423,112.8089161,112.0800485,59.46184407
27,26,59.47937065,112.8451244,112.246913,59.42789908
28,27,59.48442116,113.1429099,112.4086209,59.39393685
29,28,59.39030695,113.1500583,112.5653854,59.3599986
30,29,59.5329643,113.172941,112.7174191,59.32612556
31,30,59.79450276,113.2485626,112.8649352,59.29235895
32,31,59.79380347,113.3060994,113.0081464,59.25874002
33,32,59.60386565,113.4283993,113.1472657,59.22530997
34,33,59.48275064,113.5710178,113.2825059,59.19211006
35,34,59.51204357,113.6643162,113.4087747,59.15869219
36,35,59.52332952,113.7884032,113.5216198,59.12463253
37,36,59.41148027,113.8125097,113.6222147,59.09000863
38,37,59.37468928,113.83446,113.7117328,59.05489804
39,38,59.45314691,113.9479798,113.7913474,59.01937833
40,39,59.28251756,114.006216,113.862232,58.98352706
41,40,58.96857036,113.8802642,113.9255601,58.94742178
42,41,58.85141804,113.8752136,113.982505,58.91114005
43,42,58.95679876,114.0313131,114.0342402,58.87475944
44,43,58.94527972,114.1288461,114.0819391,58.83835749
45,44,58.82142581,114.1455711,114.1267751,58.80201178
46,45,58.77175603,114.1577699,114.1699216,58.76579986
47,46,58.86822069,114.3219502,114.212552,58.72979929
48,47,58.92010488,114.5246892,114.2558398,58.69408762
49,48,58.78038075,114.5327117,114.3009584,58.65874242
50,49,58.62121213,114.4951826,114.3490812,58.62384124
51,50,58.59434731,114.612063,114.4013816,58.58946165
52,51,58.60860529,114.7012238,114.4512999,58.55377964
53,52,58.50229213,114.5899573,114.4922108,58.5152221
