Lmin,frac
174,-0.253831609
179.8333,-0.205746099
182.3333,-0.180987236
177.3333,-0.203007557
173.8333,-0.218600234
175.3333,-0.202471521
177,-0.191148588
177,-0.191148588
169.5,-0.240904425
168.6667,-0.255928408
168.3333,-0.267326786
168.3333,-0.273267381
168,-0.281745833
168,-0.278769643
167.5,-0.279601791
167.5,-0.273631642
167.8333,-0.262164898
166.8333,-0.26673332
166.8333,-0.260739313
166.8333,-0.260739313
167.5,-0.267661493
168.5,-0.280909792
169.5,-0.29400177
170.5,-0.298142522
172.8333,-0.28351018
172.8333,-0.277724258
172.8333,-0.266152414
171.8333,-0.256062125
172.5,-0.233816232
172,-0.222868023
171.5,-0.211855977
170.8333,-0.208780724
169.6667,-0.196463419
169.1667,-0.196058681
167.6667,-0.203776898
166.6667,-0.207999558
165.1667,-0.225024778
163.6667,-0.242362069
162.6667,-0.255122899
162.1667,-0.262076
163.1667,-0.268641212
163.6667,-0.264765527
163.6667,-0.264765527
164.1667,-0.26091345
165.1667,-0.250252018
165.1667,-0.244197529
166.1667,-0.230691829
166.1667,-0.224673776
168,-0.214285714
168,-0.208333333
167.5,-0.205970149
167.5,-0.194029851
167.5,-0.191044776
168,-0.181547619
168,-0.181547619
168.5,-0.178041543
168.5,-0.189910979
169,-0.180473373
169.5,-0.16519174
170,-0.152941176
170,-0.152941176
169.5,-0.16519174
169,-0.180473373
168.5,-0.189910979
166,-0.206827108
165,-0.208080606
163,-0.213701227
161,-0.222567081
160,-0.217708125
159,-0.21278805
158.5,-0.207150158
158.5,-0.203995584
157.5,-0.214814603
157.5,-0.205290794
157.5,-0.195766984
156.5,-0.203407668
156.5,-0.206602556
156.5,-0.197017891
156,-0.188033974
156,-0.168803205
156.8333,-0.151966451
158.8333,-0.137461099
159.8333,-0.131386889
159.8333,-0.12513037
157.3333,-0.139830538
155.8333,-0.137967944
155.8333,-0.128342273
156.3333,-0.118336912
153.8333,-0.136511406
151.3333,-0.151982412
149.3333,-0.162946911
149.8333,-0.149054983
151.8333,-0.127333069
152.3333,-0.110503744
150.8333,-0.111602677
147.5,-0.129943729
147,-0.143991156
145.3333,-0.146789483
145.3333,-0.133028012
145.3333,-0.133028012
145.3333,-0.143349115
146.3333,-0.138952651
147.3333,-0.127828536
148.3333,-0.113483621
151.3333,-0.118942757
150.3333,-0.119733951
148.8333,-0.12430014
147.3333,-0.142533969
146.8333,-0.157775518
145.8333,-0.165714552
145.8333,-0.155428836
146.5,-0.136518771
147.8333,-0.08117251
148,-0.083333108
147.5,-0.097174915
147,-0.111110884
146.5,-0.119453925
145.5,-0.116838488
145.5,-0.103092784
145.5,-0.092783505
143.5,-0.14169547
142,-0.153755634
141.5,-0.160188693
142,-0.159624648
142.5,-0.155555789
143.5,-0.140534495
142.5,-0.145029474
141.5,-0.149587986
141.8333,-0.15511167
141.3333,-0.141509467
141.3333,-0.120283047
140.8333,-0.102958604
141,-0.098108511
141,-0.108746809
140.5,-0.119809964
140.5,-0.130486121
142.3333,-0.108899323
139.8333,-0.139451761
140.1667,-0.142687243
141.6667,-0.134117616
139.6667,-0.150357959
135.1667,-0.177558526
135.1667,-0.156596262
139.1667,-0.112574344
136.3333,-0.112469954
140.3333,-0.070071751
143.8333,-0.034762465
142.3333,-0.042154577
137.3333,-0.080097107
134.3333,-0.107940473
135.3333,-0.098522684
138.8333,-0.067227387
133.8333,-0.103362915
133.8333,-0.08468296
134.8333,-0.055624241
134.8333,-0.037082827
134.3333,-0.029776682
132.8333,-0.022584698
130.8333,-0.016560769
129.3333,-0.005154898
129,0.015503876
128,0.01171875
126,0.003968254
124.5,0
123,-0.008130081
122.5,-0.008163265
121.5,-0.016460905
121.5,-0.020576132
118,-0.059322034
119,-0.067226891
120.5,-0.082987552
122,-0.090163934
124.5,-0.080321285
126,-0.05952381
127.5,-0.028758431
127.8333,-0.016949418
124.1667,-0.072483202
123.5,0.013495547
123.1667,0.06901216
121.6667,0.032876703
120.3333,-0.015236015
117.8333,-0.028289117
116.5,-0.044349356
115.5,-0.075036364
115.5,-0.109668398
117.5,-0.112057021
118,-0.137005932
117.5,-0.163120851
120.6667,-0.14917123
124.6667,-0.116310129
127.1667,-0.094364327
126.5,-0.097496443
128,-0.07421875
129,-0.062015504
130.5,-0.038314176
131.5,-0.015209125
131.5,0.011406844
131.5,0.034220532
130,0.046153846
129,0.050387597
129.6667,0.070694326
128.6667,0.079015783
127.1667,0.099607051
125.1667,0.097203969
124.8333,0.086782133
124.3333,0.050938083
123.8333,0.002691522
123.1667,-0.03112286
119.1667,-0.190209178
119.5,-0.216178243
122,-0.20765
124,-0.176075
127.5,-0.147712157
129.5,-0.13770888
131.8333,-0.083438706
132.8333,-0.030112931
133.8333,-0.026151937
131.8333,-0.015170674
129.1667,0.006452127
128.6667,0.045337294
127.6667,0.077024001
126.1667,0.109643828
123.1667,0.136671682
120.1667,0.158113687
117,0.239316239
114,0.255848246
109.5,0.264840183
104.5,0.269537799
98.5,0.258883249
93,0.259856989
88.5,0.265536723
85.5,0.282651462
85.3333,0.343749744
84.3333,0.343873654
83.3333,0.333999734
82.3333,0.327935355
82.3333,0.319837781
82.3333,0.309716725
82.8333,0.293762291
83.3333,0.289999316
82,0.33739878
82,0.321137805
82,0.308942683
82,0.29065
82,0.296747561
82,0.302845122
81.3333,0.305327584
81.3333,0.317622671
81.8333,0.250509267
82.8333,0.295774767
82.8333,0.350100745
83.3333,0.366000146
84,0.319444048
84,0.265872619
85,0.227450588
85,0.203921176
83,0.186746988
83,0.190762651
83,0.190762651
84,0.188491667
85,0.186274118
86,0.178294186
87.5,0.175237714
88.5,0.173257627
89.5,0.160148603
89.5,0.154562011
90,0.153703333
90,0.142592222
90.5,0.130754696
91,0.124541758
91,0.124541758
91.5,0.122040437
92.8333,0.150807954
92.3333,0.167870097
91.5,0.171220765
91.5,0.182149727
91.5,0.165756284
91,0.1337
90.3333,0.099631033
90.3333,0.077490804
89.3333,0.089552272
90.3333,0.12730632
91.1667,0.179159715
92.1667,0.23689033
92.1667,0.274865
91.1667,0.299817806
89.3333,0.296641902
88.3333,0.294339734
88.3333,0.288679354
88.3333,0.277358595
87.3333,0.257633686
87.3333,0.234732914
86.8333,0.207293746
86.3333,0.179536749
86.3333,0.167953733
86.3333,0.156370717
87.8333,0.187855859
87.8333,0.187855859
88.3333,0.186792523
88.3333,0.186792523
88.3333,0.186792523
88.3333,0.186792523
88.8333,0.185741158
88.8333,0.185741158
90.5,0.217311602
89.5,0.275605587
89.5,0.344506145
89.5,0.400372067
89.8333,0.421150064
87.3333,0.438931084
82.8333,0.464788919
79.3333,0.497899369
76.3333,0.401746027
76.3333,0.401746027
76,0.410088158
75.5,0.426049007
75.5,0.430463576
76,0.394736842
77,0.337662338
77,0.285714286
80.5,0.36438882
81.5,0.347647853
82.5,0.343433939
83,0.359437349
83,0.40763012
82.5,0.452524848
81.5,0.476482209
80.5,0.482401242
76.5,0.455337255
76.5,0.46840915
76,0.497806579
75.5,0.534215894
74.5,0.568232215
73.5,0.609976871
73,0.641552055
72.5,0.652873103
71.5,0.67366014
71.5,0.659674126
71.5,0.645688112
71.5,0.645688112
71.5,0.664335664
71.5,0.657342657
71.5,0.613053147
71.5,0.578088112
73.5,0.539682993
72.5,0.478161379
71,0.422535211
70,0.407142857
70,0.357142857
71,0.281690141
72.5,0.262068966
73.5,0.301587755
77.8333,0.312633539
77.5,0.324731613
77.5,0.331183226
78,0.329060256
78.5,0.307856051
80.5,0.287785093
81.5,0.253579141
82.5,0.238384242
83.5,0.259481437
84.5,0.27416213
86,0.275194186
87.5,0.264762286
88,0.251894318
87,0.260536782
86,0.292636047
85.5,0.323587135
87,0.442528736
85.5,0.520467836
83.5,0.570858683
81,0.588477778
78,0.623932051
75,0.702222667
73,0.744291781
72,0.740740278
69,0.736714493
69,0.7657
69,0.801931884
68,0.806372059
68,0.791666176
67,0.78109403
67,0.791044776
67,0.810944776
67,0.796019403
67,0.793532836
67,0.778607463
67,0.76368209
67,0.748756716
67,0.733831343
67,0.726368657
67,0.71890597
67,0.71890597
67,0.726368657
67,0.74129403
67,0.756219403
67,0.76368209
67,0.76368209
67,0.756219403
67,0.748756716
68,0.730392647
68,0.693627941
67,0.629353731
68,0.575980882
69,0.545894203
70,0.545238571
71,0.565728169
72,0.585648611
73,0.611872603
73,0.625571233
73,0.646119178
72,0.668981944
72,0.689815278
71,0.692488732
71,0.692488732
71,0.690140845
71.1667,0.655737866
71.1667,0.613583319
71.1667,0.557377256
71.1667,0.515222709
71.1667,0.473068162
71.1667,0.423887858
70.8333,0.357646757
70.8333,0.308234969
71.8333,0.283062312
72.8333,0.258580896
74,0.236486486
76.5,0.22875817
78.5,0.25477707
80.5,0.316770186
82,0.37195122
83,0.415662651
81,0.465020988
80,0.48333375
78,0.495726923
77,0.508658442
76.5,0.514160784
77,0.54328961
78,0.594016667
79,0.63713038
77.5,0.655913548
77,0.69264026
76,0.719298684
74.5,0.733781208
73.5,0.716553741
71.5,0.694639161
70.5,0.6974
70.5,0.709219858
70.3333,0.6848335
70.3333,0.694312651
70.3333,0.680094635
70.3333,0.672985627
70.3333,0.672985627
70.3333,0.680094635
70.3333,0.694312651
70.3333,0.694312651
68.3333,0.648780316
68.8333,0.658595476
68.8333,0.658595476
69.8333,0.656324418
70.3333,0.644549595
70.8333,0.625882177
71.3333,0.62149515
71.3333,0.607476452
69.8333,0.544153004
69.8333,0.465394017
70.8333,0.374117823
72.3333,0.311060051
73.3333,0.265909212
74.8333,0.247216146
75.3333,0.219026646
75.8333,0.204395694
78.3333,0.306383109
79.3333,0.321428706
80.8333,0.346391895
82.3333,0.394737002
82.3333,0.455465771
82.3333,0.534413172
80.8333,0.612371387
80.3333,0.653527242
75.8333,0.564834974
75.8333,0.617582249
74.8333,0.672605645
74.3333,0.710762202
73.3333,0.720454418
72.3333,0.709677286
71.8333,0.726217506
71.8333,0.740138627
69.3333,0.721154193
69.3333,0.728365735
68.8333,0.73365653
68.3333,0.746341827
68.3333,0.765853544
67.8333,0.756756637
67.3333,0.710395896
67.3333,0.688118657
69.5,0.661870504
69.5,0.647482014
69.5,0.635492086
69.5,0.623500719
69.5,0.616306475
69.5,0.616306475
69.5,0.621103597
69.5,0.628297842
71,0.582159155
71,0.582159155
71,0.600939437
71,0.598591549
71,0.584507042
71,0.565728169
71,0.546947887
71,0.53286338
72,0.453704167
72,0.432870833
73,0.413242466
74,0.400901351
75,0.388889333
76,0.390351316
76.5,0.394335948
77,0.398268831
76.5,0.335512418
77,0.339827273
77.5,0.350538065
78,0.361111538
79,0.388186076
80,0.41458375
80.5,0.424431056
80.5,0.436853416
79.8333,0.377869886
79.8333,0.392484089
78.8333,0.414375651
78.8333,0.435517732
78.3333,0.436169547
77.8333,0.415417309
77.8333,0.387579609
77.8333,0.370449409
75.8333,0.358241037
75.8333,0.261538137
76.8333,0.158350611
78.3333,0.125531543
80.3333,0.12033117
82.3333,0.113359965
84.3333,0.073121768
85.3333,0.029296886
88.5,0.124293785
89.5,0.124767598
90.5,0.12338895
91.5,0.13843388
92,0.170290217
92,0.213768478
92,0.264492391
92,0.297101087
87.3333,0.190839004
88.3333,0.228301218
90.3333,0.280442539
91.3333,0.315693181
91.3333,0.343065454
90.3333,0.369003457
88.3333,0.396226565
87.3333,0.423664284
84.5,0.49704142
82.5,0.515151515
80.5,0.534161491
80,0.55
80,0.55
79.5,0.566037736
77.5,0.587096774
75.5,0.602649007
73.5,0.585034014
74.5,0.597315436
75,0.606666667
76,0.598684211
76,0.578947368
75,0.54
73,0.493150685
72.5,0.468965517
74.8333,0.456569468
74.8333,0.400891047
75.8333,0.336263884
76.3333,0.314410618
77.3333,0.316810481
78.3333,0.325532053
79,0.299578481
79,0.274262025
80,0.3125
81,0.290123457
82.5,0.282827879
84,0.289682143
85.6667,0.315174975
87.1667,0.332695857
88.6667,0.332706642
89,0.323969663
82.1667,0.324543885
83,0.337349398
84,0.345238095
84,0.357142857
84.5,0.366863905
84.5,0.372781065
83.5,0.377245509
83.5,0.377245509
82.5,0.37373697
82.5,0.379797576
82.5,0.397979394
81.5,0.408997546
81,0.415638272
80.5,0.424431056
80,0.43333375
80,0.43333375
77.3333,0.394396722
76.3333,0.386463051
75.3333,0.378318751
75.3333,0.365044409
75.3333,0.347344401
75.3333,0.307521375
76.3333,0.283842045
77.3333,0.273706152
77.8333,0.220555983
79.3333,0.222688329
81.8333,0.232179321
84.3333,0.225296532
86.8333,0.218810065
88.8333,0.213883758
89.8333,0.200371132
90,0.192592222
89.5,0.175046927
89.5,0.163873743
90,0.151852222
90.5,0.134438674
90.5,0.117864088
91.5,0.111111475
91.5,0.094718033
91.5,0.094718033
92.8333,0.077198591
93.3333,0.071427883
94.3333,0.065370341
95.8333,0.095651512
96.8333,0.13941485
97.8333,0.219761574
99.3333,0.312080642
99.3333,0.354026293
97,0.506873196
94,0.498226596
89.5,0.489757542
84.5,0.447731361
81,0.386830864
80,0.32291625
80,0.26666625
80.5,0.240165217
79.5,0.230607547
82.5,0.23434303
86,0.230619767
88,0.242423864
88,0.248105682
88,0.248105682
89,0.234082022
90,0.237036667
89.1667,0.280373727
90.1667,0.297597672
91.6667,0.320000611
92.6667,0.327338731
92.1667,0.329114528
91.1667,0.349177934
89.6667,0.382900229
88.6667,0.41541413
85.6667,0.466925888
84.6667,0.496062797
82.6667,0.520161081
80.6667,0.520660942
78.6667,0.483050643
76.6667,0.443478068
74.6667,0.415178386
73.6667,0.407239635
74.5,0.380312752
74.5,0.366889933
74.5,0.360178523
75.5,0.381898013
75.5,0.412803974
76,0.475877632
76.5,0.533768627
76.5,0.572984314
77.5,0.556989677
77,0.547619481
76,0.535088158
75,0.528889333
75,0.546666667
75,0.593333333
76,0.638157895
76,0.671052632
75.5,0.591611921
75.5,0.584989404
75.5,0.584989404
75,0.562222667
74.5,0.512304698
74.5,0.48545906
73.5,0.510204082
73.5,0.578231293
74,0.556306757
74,0.56982027
74,0.583333784
74,0.603604054
74,0.614864865
73,0.616438356
72,0.611111111
71.5,0.608391608
71.5,0.60373007
71.5,0.60373007
71.5,0.60373007
71.5,0.589744056
71.5,0.589744056
71.5,0.575758042
71.5,0.58041958
71.5,0.58041958
71.5,0.550116084
71.5,0.543123077
71.5,0.529137063
71.5,0.515151049
71.5,0.519813986
71.5,0.526806993
71.5,0.5338
71.5,0.540793007
72.5,0.418390345
72.6667,0.419724578
73.1667,0.43508044
73.6667,0.441176271
74.6667,0.433036414
75.6667,0.416299376
76.1667,0.385121057
76.1667,0.37199196
77.1667,0.371490552
77.6667,0.349785687
78.6667,0.341102398
80.1667,0.378379053
81.1667,0.437371484
81.1667,0.474332454
81.1667,0.47844005
80.6667,0.462810553
82.5,0.462626667
82.5,0.462626667
81.5,0.456033129
81,0.452675309
80.5,0.449275776
80,0.44583375
79.5,0.442348428
79,0.438818987
79,0.483122785
78.5,0.492569427
78,0.502137179
77.5,0.51828
76.5,0.525054902
76.5,0.544662745
75.5,0.545254305
75.6667,0.559472
75.3333,0.517699344
75.3333,0.517699344
75.8333,0.52087935
75.8333,0.507692531
75.1667,0.490022843
76.1667,0.483589285
76.1667,0.483589285
76.6667,0.473913707
76.6667,0.452174151
76.1667,0.448577922
75,0.433333333
75,0.426666667
75,0.406666667
75.5,0.390728477
76.5,0.379084967
76.5,0.374728105
76.8333,0.390455701
76.8333,0.379608841
76.8333,0.366593651
76.8333,0.360086056
76.8333,0.349240499
76.8333,0.297179738
76.8333,0.225596193
76.8333,0.173535433
78.5,0.178343949
82.5,0.212121212
87.5,0.253333714
91.5,0.258652459
92.5,0.228829189
93,0.189964516
94,0.166667021
95,0.154386316
96.1667,0.128250216
97.1667,0.106347133
98.6667,0.084460107
100.1667,0.068220277
100.6667,0.082782092
100.1667,0.118137066
99.1667,0.152941461
98.1667,0.179966323
102.1667,0.259380013
98.6667,0.263513424
94.6667,0.279929479
92.1667,0.282097547
92.1667,0.296564811
91.6667,0.30363698
90.1667,0.31977881
89.1667,0.334580062
85.5,0.341130994
86.5,0.360308671
87,0.37547931
85,0.360784706
82,0.315040244
80.5,0.258798758
80.5,0.209109317
81.5,0.182003681
81,0.135802469
82,0.176829268
84,0.226190476
85.5,0.269005848
86.5,0.294797688
85.5,0.280701754
84.5,0.266272189
84,0.251984524
83.8333,0.24254443
83.8333,0.228627526
83.8333,0.246520178
83.8333,0.276341263
85.3333,0.265624323
86.8333,0.220728684
88.3333,0.222640839
88.8333,0.2495303
89.3333,0.22014859
89.3333,0.197760522
89.8333,0.185528084
90.3333,0.178966118
91.3333,0.193429998
91.3333,0.193429998
92.3333,0.175089594
92.3333,0.149819188
97.5,0.2
98,0.229591837
99,0.286194949
99.5,0.345058291
99.5,0.410384925
99,0.473063636
98,0.535714286
98,0.576530612
95.5,0.628272251
95.5,0.638743455
95.5,0.671902618
95.5,0.692845026
95.5,0.698080628
95.5,0.682373822
95.5,0.654450262
95.5,0.636997906
94,0.473404255
94,0.460992553
94,0.434396809
94,0.402481915
94.5,0.368606349
94.5,0.326278307
94.5,0.283950265
95,0.266666316
96.5,0.236614508
95.5,0.239092147
95,0.245613684
94,0.248226596
93,0.240143011
92,0.22101413
91,0.19597033
91,0.177656044
91.1667,0.33089604
89.1667,0.358878371
86.1667,0.423597515
84.6667,0.519684835
83.1667,0.595190142
80.6667,0.632231144
76.3333,0.615720793
72.8333,0.590389286
71.3333,0.644860114
71.3333,0.672897511
71,0.692488732
71,0.685446479
71,0.657277465
71,0.643192958
71,0.650235211
71,0.657277465
70.6667,0.716981266
70.6667,0.674528455
70.6667,0.65330205
70.6667,0.681603924
70.6667,0.745283139
70.6667,0.766509544
71,0.73943662
71,0.690140845
72.3333,0.744239513
72.3333,0.730414622
72.3333,0.723502177
71.3333,0.705607339
72,0.708333333
71,0.697183099
71,0.690140845
71,0.690140845
70.1667,0.560570755
70.1667,0.532067206
70.1667,0.496437769
70.1667,0.496437769
69.8333,0.529833188
69.8333,0.55847282
69.5,0.573141007
69.5,0.565946763
69.3333,0.564903156
69,0.570047826
70,0.57619
70.3333,0.521326313
71.6667,0.437210029
72.6667,0.327982418
73.6667,0.248869571
73.6667,0.20135828
76.8333,-0.136659495
80.3333,-0.207469381
84.3333,-0.298419486
90.3333,-0.311808602
97.3333,-0.263699063
103.8333,-0.218298946
109.8333,-0.210926012
113.3333,-0.222059183
118,-0.177966102
119.5,-0.150627615
121,-0.140495868
123,-0.12601626
124.5,-0.104417671
125.5,-0.039840637
125.5,0.055776892
125.5,0.128818327
127.8333,0.191655852
124.8333,0.213617681
121.8333,0.290013486
119.3333,0.392457931
115.1667,0.408104079
108.1667,0.374422073
99.1667,0.379832141
91.6667,0.438182022
92.5,0.331531892
90.5,0.278085083
88.5,0.209039548
86,0.149224419
85.5,0.136452632
86,0.172480233
87.5,0.219048
88.5,0.250471186
92.5,0.324324324
89.5,0.312849162
86.5,0.317919075
84.5,0.337278107
83.5,0.389221557
81.5,0.447852761
79,0.483122785
76,0.502193421
77.5,0.513978065
77.5,0.539784516
77.5,0.569892903
77,0.606061039
76.5,0.620915033
76.5,0.633986928
76,0.638157895
75.5,0.644592053
76,0.638157895
76,0.609648684
75,0.544444
74.5,0.474272483
74.5,0.407158389
75,0.371110667
76,0.353069737
76,0.339911842
76.5,0.335512418
77.5,0.305376774
78.5,0.263270064
80.5,0.250518012
82.5,0.244444848
84.5,0.244576331
86,0.222868605
86.5,0.19845896
87.5,0.217142857
87.5,0.205714286
87,0.17816092
87,0.172413793
87,0.17816092
87,0.201149425
87.1667,0.225621711
87.1667,0.237093982
88.1667,0.268431278
87.1667,0.311663743
87.1667,0.363288962
86.6667,0.371154088
87.3333,0.364503574
86.8333,0.383876923
